CODIGO ASEO;CODIGO J.M.;DISTRITO;VIAL;DIRECCION;NUMERO;ANT/DES/ESQ. ;COORD UTM ETRS89 X;COORD UTM ETRS89 Y;FECHA PUESTA EN SERVICIO;LATITUD;LONGITUD;NOMBRE;;;;;;;;;;;;;;;;;;;
020048AS;5;CHAMARTIN;CALLE;PRINCIPE DE VERGARA;275;;442599.77;4478823.76;20/11/2017;40.4580987;-3.6769943;CALLE PRINCIPE DE VERGARA,275;;;;;;;;;;;;;;;;;;;
020043AS;5;CHAMARTIN;CALLE;SAN ERNESTO;2;;442594.29;4477851.39;08/03/2018;40.4493387;-3.676971;CALLE SAN ERNESTO,2;;;;;;;;;;;;;;;;;;;
020044AS;5;CHAMARTIN;PLAZA;PROSPERIDAD;1;;442764.50;4477254.49;23/03/2018;40.4439733;-3.6749101;PLAZA PROSPERIDAD,1;;;;;;;;;;;;;;;;;;;
020111AS;6;TETUAN;PARQUE;RODRIGUEZ SAHAGUN;S/N;;439732.46;4480043.66;14/12/2016;40.468885;-3.7109256;PARQUE RODRIGUEZ SAHAGUN,S/N;;;;;;;;;;;;;;;;;;;
020106AS;6;TETUAN;PASEO;DIRECCION;374;;440588.26;4480374.59;29/12/2017;40.4719278;-3.7008622;PASEO DIRECCION,374;;;;;;;;;;;;;;;;;;;
020110AS;6;TETUAN;CALLE;BASILICA;15;;441015.18;4477859.02;06/02/2018;40.4492969;-3.6955925;CALLE BASILICA,15;;;;;;;;;;;;;;;;;;;
020051AS;7;CHAMBERI;CALLE;ANDRES MELLADO;34;;439394.86;4476114.67;07/12/2017;40.4334665;-3.7145327;CALLE ANDRES MELLADO,34;;;;;;;;;;;;;;;;;;;
020108AS;7;CHAMBERI;AVENIDA;REINA VICTORIA;7;;440219.27;4477592.52;22/02/2018;40.4468393;-3.7049527;AVENIDA REINA VICTORIA,7;;;;;;;;;;;;;;;;;;;
020030AS;7;CHAMBERI;PLAZA;JUAN ZORRILLA;4;;440263.71;4477086.29;19/03/2018;40.4422822;-3.7043811;PLAZA JUAN ZORRILLA,4;;;;;;;;;;;;;;;;;;;
020112AS;7;CHAMBERI;PLAZA;SAN JUAN DE LA CRUZ;9;;441069.47;4476972.51;04/04/2018;40.4413147;-3.6948701;PLAZA SAN JUAN DE LA CRUZ,9;;;;;;;;;;;;;;;;;;;
020052AS;7;CHAMBERI;GLORIETA;QUEVEDO;1;;440266.59;4476076.61;12/06/2018;40.4331867;-3.7042522;GLORIETA QUEVEDO,1;;;;;;;;;;;;;;;;;;;
020096AS;7;CHAMBERI;GLORIETA;RUIZ JIMENEZ;5;;440170.13;4475693.23;15/10/2018;40.4297261;-3.7053533;GLORIETA RUIZ JIMENEZ,5;;;;;;;;;;;;;;;;;;;
020064AS;8;FUENCARRAL - EL PARDO;CALLE;COSTA BRAVA;13;;440593.87;4482929.73;11/08/2017;40.4949458;-3.7010354;CALLE COSTA BRAVA,13;;;;;;;;;;;;;;;;;;;
020036ASW;8;FUENCARRAL - EL PARDO;PASEO;VAGUADA;13;;439634.91;4481284.71;05/12/2017;40.4800577;-3.7121944;PASEO VAGUADA,13;;;;;;;;;;;;;;;;;;;
020107AS;8;FUENCARRAL - EL PARDO;AVENIDA;MONASTERIO DEL ESCORIAL;3;;439844.52;4484021.61;02/03/2018;40.5047279;-3.7099814;AVENIDA MONASTERIO DEL ESCORIAL,3;;;;;;;;;;;;;;;;;;;
020065AS;8;FUENCARRAL - EL PARDO;AVENIDA;LA GUARDIA;4;;434291.63;4485659.44;09/05/2018;40.5190605;-3.7756836;AVENIDA LA GUARDIA,4;;;;;;;;;;;;;;;;;;;
020068AS;8;FUENCARRAL - EL PARDO;CALLE;GINZO DE LIMIA;47;;440130.12;4481657.06;05/07/2018;40.4834478;-3.7063874;CALLE GINZO DE LIMIA,47;;;;;;;;;;;;;;;;;;;
020033AS;8;FUENCARRAL - EL PARDO;CALLE;PEDRO RICO;1;;441552.07;4481295.21;24/11/2018;40.4802895;-3.689578;CALLE PEDRO RICO,1;;;;;;;;;;;;;;;;;;;
020081ASW;9;MONCLOA-ARAVACA     ;PASEO;PINTOR ROSALES;14;;439050.46;4475223.00;16/01/2017;40.4254088;-3.7185074;PASEO PINTOR ROSALES,14;;;;;;;;;;;;;;;;;;;
020113AS;9;MONCLOA-ARAVACA     ;CALLE;SANCHEZ PRECIADO;75;;439861.47;4479468.49;05/02/2018;40.463713;-3.7093494;CALLE SANCHEZ PRECIADO,75;;;;;;;;;;;;;;;;;;;
020078AS;9;MONCLOA-ARAVACA     ;PASEO;JUAN XXIII;13;;439197.67;4477753.91;01/03/2018;40.4482191;-3.7170143;PASEO JUAN XXIII,13;;;;;;;;;;;;;;;;;;;
